vehicle_id,vehicle_type,group_id,stops,distance_km,time_min,time_hhmm,weight_tn,volume_m3,length_m,has_hazard
G1-01,Furgones Utilitarios Livianos,G1,20,23.75,252.3,10:12,1.089,7.99,21.69,True
G1-02,Furgones Utilitarios Livianos,G1,9,11.71,184.4,09:04,0.452,2.48,8.19,True
G1-03,Furgones Utilitarios Livianos,G1,14,35.01,221.7,09:41,0.942,6.16,18.61,True
G1-04,Furgones Utilitarios Livianos,G1,19,19.95,262.2,10:22,1.181,7.2,21.7,True
G1-05,Furgones Utilitarios Livianos,G1,18,20.36,227.4,09:47,1.15,7.67,21.54,True
G1-06,Furgones Utilitarios Livianos,G1,17,38.86,249.8,10:09,1.101,6.81,22.45,True
G1-07,Furgones Utilitarios Livianos,G1,15,37.51,202.6,09:22,1.133,7.99,21.5,False
G1-08,Furgones Utilitarios Livianos,G1,16,37.18,234.9,09:54,0.932,6.62,17.9,True
G1-09,Furgones Utilitarios Livianos,G1,19,28.29,250.4,10:10,1.172,7.55,23.74,True
G1-10,Furgones Utilitarios Livianos,G1,13,23.6,216.7,09:36,0.82,4.05,13.09,True
G1-11,Furgones Utilitarios Livianos,G1,17,48.75,254.5,10:14,1.021,7.32,17.71,True
G1-12,Furgones Utilitarios Livianos,G1,14,28.63,256.2,10:16,0.703,4.59,18.2,True
G1-13,Furgones Utilitarios Livianos,G1,16,40.39,289.3,10:49,1.162,7.72,23.04,True
G1-14,Furgones Utilitarios Livianos,G1,18,36.66,223.2,09:43,1.01,6.46,20.68,True
G1-15,Furgones Utilitarios Livianos,G1,18,27.41,213.4,09:33,1.014,7.93,19.67,False
G2-01,Camiones Medios con Rampa,G2,38,22.39,378.5,12:18,3.824,18.95,66.69,True
G2-02,Camiones Medios con Rampa,G2,45,33.38,379.8,12:19,4.484,22.02,80.84,True
G2-03,Camiones Medios con Rampa,G2,43,49.01,438.7,13:18,3.924,19.38,74.57,True
G2-04,Camiones Medios con Rampa,G2,42,24.76,353.2,11:53,3.965,21.45,74.93,True
G2-05,Camiones Medios con Rampa,G2,42,41.68,416.1,12:56,4.226,19.26,80.99,True
G2-06,Camiones Medios con Rampa,G2,46,31.22,379.1,12:19,4.974,23.5,86.2,True
G2-07,Camiones Medios con Rampa,G2,45,44.25,410.5,12:50,3.844,20.61,72.32,True
G2-08,Camiones Medios con Rampa,G2,39,43.03,410.6,12:50,4.143,25.0,80.81,True
G2-09,Camiones Medios con Rampa,G2,48,27.85,395.5,12:35,4.526,19.76,84.92,True
G2-10,Camiones Medios con Rampa,G2,43,41.2,464.2,13:44,4.435,19.99,76.36,True
G2-11,Camiones Medios con Rampa,G2,45,47.86,413.3,12:53,4.452,23.08,79.72,True
G2-12,Camiones Medios con Rampa,G2,40,38.36,355.6,11:55,3.955,19.44,68.94,True
G2-13,Camiones Medios con Rampa,G2,39,43.55,386.2,12:26,3.214,16.93,69.97,True
G2-14,Camiones Medios con Rampa,G2,46,33.68,409.2,12:49,4.646,22.71,90.36,True
G2-15,Camiones Medios con Rampa,G2,42,23.82,377.1,12:17,4.424,22.57,85.74,True
G3-01,Camiones Porta-Vehículos,G3,9,26.29,328.6,11:28,6.638,,9.5,False
G3-02,Camiones Porta-Vehículos,G3,11,23.44,340.3,11:40,7.607,,10.58,False
G3-03,Camiones Porta-Vehículos,G3,9,18.26,374.3,12:14,5.498,,8.53,False
G3-04,Camiones Porta-Vehículos,G3,5,22.46,263.0,10:23,2.875,,5.42,False
G3-05,Camiones Porta-Vehículos,G3,10,26.33,319.7,11:19,7.803,,9.73,False
G3-06,Camiones Porta-Vehículos,G3,11,26.02,365.3,12:05,6.878,,11.01,False
G3-07,Camiones Porta-Vehículos,G3,9,26.37,345.3,11:45,6.007,,9.85,False
G3-08,Camiones Porta-Vehículos,G3,10,26.0,319.6,11:19,6.47,,10.98,False
G3-09,Camiones Porta-Vehículos,G3,7,21.48,329.2,11:29,4.873,,7.43,False
G3-10,Camiones Porta-Vehículos,G3,11,32.4,397.1,12:37,7.684,,11.13,False
G4-01,Semirremolques de Gran Porte,G4,52,41.9,381.6,12:21,14.357,52.05,115.3,True
G4-02,Semirremolques de Gran Porte,G4,51,48.26,410.8,12:50,16.899,58.2,130.76,True
G4-03,Semirremolques de Gran Porte,G4,53,45.79,404.7,12:44,16.464,58.43,127.02,True
G4-04,Semirremolques de Gran Porte,G4,56,56.61,455.1,13:35,14.706,53.43,115.14,True
G4-05,Semirremolques de Gran Porte,G4,48,50.57,407.2,12:47,14.074,54.13,120.03,True
G5-01,Furgones Refrigerados,G5,32,35.44,296.7,10:56,4.112,19.59,39.86,False
G5-02,Furgones Refrigerados,G5,34,38.1,313.4,11:13,4.115,17.86,39.42,False
G5-03,Furgones Refrigerados,G5,32,40.9,317.6,11:17,4.55,20.5,37.97,False
G5-04,Furgones Refrigerados,G5,34,33.87,305.5,11:05,4.436,24.61,43.32,False
G5-05,Furgones Refrigerados,G5,29,37.43,294.7,10:54,4.033,20.4,34.59,False
