vehicle_id,vehicle_type,stop_id,cargo_type,x_km,y_km,arrival_hhmm,arrival_min,service_min,packages,has_hazard,expiration_min
G1-01,Furgones Utilitarios Livianos,S0166,small,14.87,17.08,07:00,60,3.0,2,False,
G1-01,Furgones Utilitarios Livianos,S0014,small,13.35,16.71,07:09,69.2,3.0,2,False,
G1-01,Furgones Utilitarios Livianos,S0006,small,13.14,18.09,07:17,77.8,3.0,2,False,
G1-01,Furgones Utilitarios Livianos,S0018,small,12.4,13.85,07:37,98.0,3.0,2,False,
G1-01,Furgones Utilitarios Livianos,S0093,small,10.65,14.06,07:48,108.0,2.5,1,False,
G1-01,Furgones Utilitarios Livianos,S0008,small,11.68,14.82,09:00,180,3.5,3,True,
G1-01,Furgones Utilitarios Livianos,S0003,small,12.6,14.09,09:08,188.2,2.5,1,False,
G1-01,Furgones Utilitarios Livianos,S0063,small,12.6,14.01,09:11,191.0,3.0,2,False,
G1-01,Furgones Utilitarios Livianos,S0064,small,13.68,14.93,09:19,199.7,3.5,3,False,
G1-01,Furgones Utilitarios Livianos,S0004,small,13.29,15.94,09:27,207.5,3.5,3,False,
G1-01,Furgones Utilitarios Livianos,S0010,small,12.85,16.18,09:32,213.0,2.5,1,False,
G1-01,Furgones Utilitarios Livianos,S0001,small,12.57,16.08,09:36,216.7,3.0,2,False,
G1-01,Furgones Utilitarios Livianos,S0005,small,12.46,16.51,09:41,221.5,3.0,2,False,
G1-01,Furgones Utilitarios Livianos,S0012,small,12.32,17.08,09:46,226.8,3.5,3,False,
G1-01,Furgones Utilitarios Livianos,S0002,small,12.62,17.39,09:52,232.0,2.5,1,False,
G1-01,Furgones Utilitarios Livianos,S0169,small,13.11,18.19,09:58,238.3,2.5,1,False,
G1-01,Furgones Utilitarios Livianos,S0009,small,13.16,18.31,10:01,241.3,3.5,3,False,
G1-01,Furgones Utilitarios Livianos,S0168,small,13.91,18.08,10:07,247.9,3.5,3,False,
G1-01,Furgones Utilitarios Livianos,S0007,small,13.77,16.51,10:17,257.7,3.0,2,False,
G1-01,Furgones Utilitarios Livianos,S0013,small,14.1,15.98,10:23,263.2,3.5,3,True,
G1-02,Furgones Utilitarios Livianos,S0248,small,14.82,11.96,07:00,60,2.5,1,False,
G1-02,Furgones Utilitarios Livianos,S0068,small,14.89,11.93,07:02,62.8,3.5,3,True,
G1-02,Furgones Utilitarios Livianos,S0074,small,16.94,12.19,07:14,74.5,3.0,2,False,
G1-02,Furgones Utilitarios Livianos,S0250,small,17.27,12.44,07:19,79.2,2.5,1,False,
G1-02,Furgones Utilitarios Livianos,S0029,small,15.56,11.91,09:00,180,2.5,1,False,
G1-02,Furgones Utilitarios Livianos,S0052,small,15.22,11.58,09:04,184.4,2.5,1,False,
G1-02,Furgones Utilitarios Livianos,S0023,small,15.15,12.19,09:09,189.3,3.5,3,False,
G1-02,Furgones Utilitarios Livianos,S0059,small,14.99,12.25,09:13,193.5,3.0,2,False,
G1-02,Furgones Utilitarios Livianos,S0025,small,14.86,12.12,09:17,197.2,2.5,1,False,
G1-03,Furgones Utilitarios Livianos,S0051,small,20.97,17.62,07:21,81.3,3.0,2,False,
G1-03,Furgones Utilitarios Livianos,S0042,small,21.96,18.18,07:28,88.8,2.5,1,False,
G1-03,Furgones Utilitarios Livianos,S0038,small,22.11,17.75,07:33,93.2,3.0,2,True,
G1-03,Furgones Utilitarios Livianos,S0045,small,23.2,17.88,07:40,100.5,2.5,1,False,
G1-03,Furgones Utilitarios Livianos,S0048,small,21.89,19.39,07:51,111.0,2.5,1,False,
G1-03,Furgones Utilitarios Livianos,S0037,small,23.98,15.64,08:10,130.7,3.5,3,False,
G1-03,Furgones Utilitarios Livianos,S0049,small,24.3,17.28,09:00,180,3.0,2,False,
G1-03,Furgones Utilitarios Livianos,S0043,small,22.92,17.37,09:08,188.6,2.5,1,False,
G1-03,Furgones Utilitarios Livianos,S0050,small,21.89,16.49,09:16,196.5,3.0,2,False,
G1-03,Furgones Utilitarios Livianos,S0046,small,21.13,16.48,09:22,202.5,3.5,3,False,
G1-03,Furgones Utilitarios Livianos,S0047,small,21.23,15.54,09:29,209.8,3.5,3,False,
G1-03,Furgones Utilitarios Livianos,S0039,small,19.69,16.99,09:41,221.7,3.0,2,False,
G1-03,Furgones Utilitarios Livianos,S0035,small,20.22,17.55,09:47,227.8,3.5,3,False,
G1-03,Furgones Utilitarios Livianos,S0036,small,22.19,18.85,10:00,240.7,3.5,3,False,
